日付,始値,高値,安値,終値,出来高,証券コード
4.6319305553,3.4677560512,3.4677560512,3.4635944022,3.4643404846,4.3242824553,1301
4.6319406909,3.4650852876,3.4687902621,3.4647875196,3.4676081056,4.5943925504,1301
4.6319508263,3.4683473304,3.4699692095,3.467312063,3.4699692095,4.2671717284,1301
4.6319609614,3.4681995861,3.470263447,3.4656802116,3.4676081056,4.3692158574,1301
4.6319913653,3.4668676204,3.4695274792,3.465234095,3.4676081056,4.3765769571,1301
4.6320014994,3.4684950245,3.469822016,3.4670158184,3.4690852991,4.45484486,1301
4.6320622994,3.4731949092,3.4752352226,3.4714384074,3.4749443355,4.5526682161,1301
4.632072432,3.4749443355,3.4752352226,3.4718781993,3.4726101976,4.4329692909,1301
4.6320825642,3.4720246977,3.476541809,3.4720246977,3.4756711883,4.6589648427,1301
4.6320926963,3.4763968267,3.4828735836,3.4730488051,3.4828735836,4.8444771757,1301
4.6321028281,3.4842998393,3.4871383755,3.4733409642,3.4785664956,4.7323937598,1301
4.632133222,3.4785664956,3.4828735836,3.4712917111,3.4828735836,4.688419822,1301
4.6321433529,3.4842998393,3.4864304789,3.480725379,3.4857214265,4.638489257,1301
4.6321534835,3.4828735836,3.4878451201,3.4814426285,3.4878451201,4.6637009254,1301
4.6321636139,3.4828735836,3.4892551684,3.480006943,3.4892551684,4.751279104,1301
4.632173744,3.4885507165,3.4913616938,3.4857214265,3.4913616938,4.6020599913,1301
4.6322041331,3.4920616045,3.4976206498,3.4913616938,3.4976206498,4.717670503,1301
4.6322142623,3.4976206498,3.4989993636,3.4962375452,3.4969296481,4.651278014,1301
4.6322243912,3.4983105538,3.5017437296,3.4983105538,3.5017437296,4.6766936096,1301
4.6322345199,3.5017437296,3.5017437296,3.493458051,3.4955443375,4.372912003,1301
4.6322446484,3.494154594,3.494154594,3.4878451201,3.4885507165,4.3159703455,1301
4.6322750325,3.4878451201,3.4892551684,3.4857214265,3.4864304789,4.1958996524,1301
4.63228516,3.4850112146,3.4864304789,3.4778444763,3.480725379,4.3636119799,1301
4.6322952873,3.4785664956,3.4871383755,3.4785664956,3.4850112146,4.4608978428,1301
4.6323054144,3.4871383755,3.4878451201,3.483587297,3.4850112146,4.1492191127,1301
4.6323155413,3.4885507165,3.4885507165,3.4828735836,3.4857214265,4.5078558717,1301
4.6323459203,3.4821586954,3.4878451201,3.4821586954,3.4864304789,4.2304489214,1301
4.6323560462,3.4885507165,3.4885507165,3.4842998393,3.4857214265,4.357934847,1301
4.6323661719,3.4857214265,3.4871383755,3.4828735836,3.4842998393,4.3324384599,1301
4.6323762973,3.4864304789,3.493458051,3.4850112146,3.4899584794,4.678518379,1301
4.6323864225,3.4899584794,3.4899584794,3.483587297,3.4850112146,4.5658478187,1301
4.6324167966,3.4871383755,3.493458051,3.4828735836,3.492760389,4.4771212547,1301
4.6324269209,3.4906606534,3.4955443375,3.4899584794,3.492760389,4.3926969533,1301
4.6324370449,3.492760389,3.4948500217,3.4906606534,3.4906606534,4.3031960574,1301
4.6324471687,3.4906606534,3.4955443375,3.4899584794,3.492760389,4.4955443375,1301
4.6324572922,3.4955443375,3.4969296481,3.492760389,3.4955443375,4.411619706,1301
4.6324876614,3.4948500217,3.5017437296,3.494154594,3.4983105538,4.6095944092,1301
4.632497784,3.5017437296,3.5037906831,3.4996870826,3.5031094367,4.7050079593,1301
4.6325079063,3.5031094367,3.5071809773,3.5017437296,3.5058280339,4.8325089127,1301
4.6325180284,3.5078558717,3.508529719,3.50242712,3.5031094367,4.4771212547,1301
4.6325281503,3.4996870826,3.4996870826,3.492760389,3.4948500217,4.5092025223,1301
4.6325585145,3.4920616045,3.494154594,3.4892551684,3.4892551684,4.2278867046,1301
4.6325686355,3.4885507165,3.493458051,3.4842998393,3.492760389,4.5198279938,1301
4.6325787562,3.492760389,3.493458051,3.4864304789,3.4871383755,4.2355284469,1301
4.6325888766,3.4885507165,3.4885507165,3.4842998393,3.4857214265,4.3996737215,1301
4.6325989969,3.4842998393,3.4899584794,3.4814426285,3.4899584794,4.5263392774,1301
4.6326293561,3.4920616045,3.4948500217,3.4906606534,3.4948500217,4.656098202,1301
4.6326394754,3.4969296481,3.4969296481,3.492760389,3.4955443375,4.593286067,1301
4.6326495945,3.492760389,3.4962375452,3.4920616045,3.4955443375,4.4048337166,1301
4.6326597133,3.4996870826,3.4996870826,3.4913616938,3.493458051,4.6106601631,1301
4.6326698319,3.4948500217,3.4955443375,3.4892551684,3.492760389,4.587710965,1301
4.6327001862,3.494154594,3.4955443375,3.4906606534,3.492760389,4.2900346114,1301
4.6327103038,3.494154594,3.4969296481,3.4913616938,3.4969296481,4.3926969533,1301
4.6327204212,3.4955443375,3.4955443375,3.4899584794,3.4906606534,4.2380461031,1301
4.6327305384,3.4920616045,3.492760389,3.4899584794,3.4899584794,4.0644579892,1301
4.6327406553,3.4892551684,3.4906606534,3.4878451201,3.4878451201,4.1003705451,1301
4.6327811207,3.4857214265,3.4885507165,3.4842998393,3.4857214265,4.4712917111,1301
